title,directors,casts,year
无双,庄文强,"[{'alt': 'https://movie.douban.com/celebrity/1044899/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p205.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p205.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p205.jpg'}, 'name': '周润发', 'id': '1044899'}, {'alt': 'https://movie.douban.com/celebrity/1041390/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p49475.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p49475.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p49475.jpg'}, 'name': '郭富城', 'id': '1041390'}, {'alt': 'https://movie.douban.com/celebrity/1016668/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p146.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p146.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p146.jpg'}, 'name': '张静初', 'id': '1016668'}]",2018
影,张艺谋,"[{'alt': 'https://movie.douban.com/celebrity/1274235/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p805.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p805.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p805.jpg'}, 'name': '邓超', 'id': '1274235'}, {'alt': 'https://movie.douban.com/celebrity/1004856/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1415690807.36.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1415690807.36.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1415690807.36.jpg'}, 'name': '孙俪', 'id': '1004856'}, {'alt': 'https://movie.douban.com/celebrity/1275564/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1366015827.84.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1366015827.84.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1366015827.84.jpg'}, 'name': '郑恺', 'id': '1275564'}]",2018
李茶的姑妈,吴昱翰,"[{'alt': 'https://movie.douban.com/celebrity/1363857/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1519453932.46.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1519453932.46.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1519453932.46.jpg'}, 'name': '黄才伦', 'id': '1363857'}, {'alt': 'https://movie.douban.com/celebrity/1350408/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1437031126.82.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1437031126.82.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1437031126.82.jpg'}, 'name': '艾伦', 'id': '1350408'}, {'alt': 'https://movie.douban.com/celebrity/1350407/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1437031175.04.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1437031175.04.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1437031175.04.jpg'}, 'name': '宋阳', 'id': '1350407'}]",2018
找到你,吕乐,"[{'alt': 'https://movie.douban.com/celebrity/1029395/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1525664924.95.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1525664924.95.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1525664924.95.jpg'}, 'name': '姚晨', 'id': '1029395'}, {'alt': 'https://movie.douban.com/celebrity/1011935/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1415523283.1.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1415523283.1.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1415523283.1.jpg'}, 'name': '马伊琍', 'id': '1011935'}, {'alt': 'https://movie.douban.com/celebrity/1274820/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1537202539.42.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1537202539.42.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1537202539.42.jpg'}, 'name': '袁文康', 'id': '1274820'}]",2018
胖子行动队,包贝尔,"[{'alt': 'https://movie.douban.com/celebrity/1011513/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p28063.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p28063.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p28063.jpg'}, 'name': '文章', 'id': '1011513'}, {'alt': 'https://movie.douban.com/celebrity/1315866/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p33945.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p33945.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p33945.jpg'}, 'name': '包贝尔', 'id': '1315866'}, {'alt': 'https://movie.douban.com/celebrity/1274663/', 'avatars': {'small': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p51498.jpg', 'large': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p51498.jpg', 'medium': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p51498.jpg'}, 'name': '郭京飞', 'id': '1274663'}]",2018
悲伤逆流成河,落落,"[{'alt': 'https://movie.douban.com/celebrity/1396966/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1531194852.71.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1531194852.71.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1531194852.71.jpg'}, 'name': '赵英博', 'id': '1396966'}, {'alt': 'https://movie.douban.com/celebrity/1397388/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1531714113.81.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1531714113.81.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1531714113.81.jpg'}, 'name': '任敏', 'id': '1397388'}, {'alt': 'https://movie.douban.com/celebrity/1397178/', 'avatars': {'small': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1537417749.08.jpg', 'large': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1537417749.08.jpg', 'medium': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1537417749.08.jpg'}, 'name': '辛云来', 'id': '1397178'}]",2018
新灰姑娘,林恩·萨瑟兰,"[{'alt': 'https://movie.douban.com/celebrity/1401830/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538287125.33.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538287125.33.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538287125.33.jpg'}, 'name': 'Kirsten Day', 'id': '1401830'}, {'alt': 'https://movie.douban.com/celebrity/1401831/', 'avatars': {'small': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538287154.67.jpg', 'large': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538287154.67.jpg', 'medium': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538287154.67.jpg'}, 'name': 'Stephanie Sanditz', 'id': '1401831'}]",2018
阿凡提之奇缘历险,刘炜,"[{'alt': 'https://movie.douban.com/celebrity/1328393/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1498555461.54.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1498555461.54.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1498555461.54.jpg'}, 'name': '胡谦', 'id': '1328393'}, {'alt': 'https://movie.douban.com/celebrity/1326522/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1498555670.36.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1498555670.36.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1498555670.36.jpg'}, 'name': '李晔', 'id': '1326522'}, {'alt': 'https://movie.douban.com/celebrity/1318536/', 'avatars': {'small': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1501515009.39.jpg', 'large': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1501515009.39.jpg', 'medium': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1501515009.39.jpg'}, 'name': '蒋可', 'id': '1318536'}]",2018
江湖儿女,贾樟柯,"[{'alt': 'https://movie.douban.com/celebrity/1005985/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1448114660.11.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1448114660.11.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1448114660.11.jpg'}, 'name': '赵涛', 'id': '1005985'}, {'alt': 'https://movie.douban.com/celebrity/1007401/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1454644679.84.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1454644679.84.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1454644679.84.jpg'}, 'name': '廖凡', 'id': '1007401'}, {'alt': 'https://movie.douban.com/celebrity/1274297/', 'avatars': {'small': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p43738.jpg', 'large': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p43738.jpg', 'medium': 'https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p43738.jpg'}, 'name': '徐峥', 'id': '1274297'}]",2018
黄金兄弟,钱嘉乐,"[{'alt': 'https://movie.douban.com/celebrity/1031793/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p37040.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p37040.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p37040.jpg'}, 'name': '郑伊健', 'id': '1031793'}, {'alt': 'https://movie.douban.com/celebrity/1075760/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1351835006.51.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1351835006.51.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1351835006.51.jpg'}, 'name': '陈小春', 'id': '1075760'}, {'alt': 'https://movie.douban.com/celebrity/1010833/', 'avatars': {'small': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p31476.jpg', 'large': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p31476.jpg', 'medium': 'https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p31476.jpg'}, 'name': '谢天华', 'id': '1010833'}]",2018
